date,county,own,utility,zip
2010.03,San Mateo County,5,ZEV,94002
2010.03,Santa Clara County,5,ZEV,94306
2010.03,Los Angeles County,5,ZEV,91326
2010.03,Humboldt County,5,ZEV,95501
2010.04,Ventura County,5,ZEV,91360
2010.04,Los Angeles County,1,ZEV,90071
2010.04,Contra Costa County,5,ZEV,94563
2010.04,Santa Cruz County,5,ZEM,95003
2010.04,San Diego County,5,ZEV,92101
2010.04,Ventura County,5,ZEV,93065
2010.04,Sonoma County,5,ZEM,95442
2010.04,San Bernardino County,6,NEV,92395
2010.04,Sonoma County,5,ZEM,95404
2010.04,Orange County,4,NEV,92866
2010.04,Orange County,4,NEV,92866
2010.04,San Bernardino County,6,NEV,92395
2010.05,Del Norte County,2,NEV,95548
2010.05,Los Angeles County,1,ZEM,90046
2010.05,Los Angeles County,5,ZEV,90292
2010.05,Contra Costa County,5,ZEV,94526
2010.05,Placer County,5,NEV,95648
2010.05,San Diego County,1,ZEM,92026
2010.05,San Diego County,1,ZEM,92026
2010.05,Los Angeles County,5,ZEM,91506
2010.05,San Diego County,5,ZEV,92075
2010.06,San Mateo County,5,ZEM,94070
2010.06,Santa Clara County,5,ZEM,95121
2010.06,Marin County,5,ZEV,94901
2010.06,Alameda County,5,ZEV,94605
2010.06,Los Angeles County,5,ZEV,90049
2010.06,Los Angeles County,1,CZEV,90007
2010.06,Los Angeles County,1,CZEV,90007
2010.06,Los Angeles County,1,CZEV,90007
2010.06,Los Angeles County,1,CZEV,90007
2010.06,San Mateo County,5,ZEV,94062
2010.06,San Francisco County,5,ZEV,94116
2010.06,Santa Clara County,5,ZEV,94024
2010.06,Fresno County,5,ZEM,93612
2010.06,Santa Clara County,5,ZEV,94040
2010.06,San Diego County,5,ZEM,92084
2010.06,Nevada County,5,ZEM,95959
2010.06,Los Angeles County,5,ZEV,90807
2010.06,Santa Barbara County,5,ZEV,93101
2010.06,Alameda County,5,ZEM,94536
2010.06,Los Angeles County,1,ZEM,91401
2010.06,San Diego County,5,ZEV,92014
2010.06,Santa Clara County,5,ZEV,94022
2010.07,Modoc County,5,ZEM,96108
2010.07,El Dorado County,5,ZEM,96150
2010.07,Siskiyou County,6,NEV,96097
2010.07,Orange County,5,ZEM,92691
2010.07,Santa Clara County,5,ZEM,95030
2010.07,Orange County,4,ZEV,92618
2010.07,Santa Cruz County,5,ZEM,95060
2010.07,Los Angeles County,1,ZEM,90068
2010.07,Los Angeles County,5,ZEM,90808
2010.07,San Francisco County,5,ZEV,94133
2010.07,Los Angeles County,5,ZEV,90277
2010.08,Santa Clara County,1,NEV,95035
2010.08,Los Angeles County,5,ZEV,90068
2010.08,Orange County,5,ZEV,92661
2010.08,Marin County,5,ZEV,94904
2010.08,Orange County,5,NEV,92694
2010.08,Los Angeles County,5,ZEM,91602
2010.08,Sonoma County,5,ZEM,94951
2010.08,Orange County,5,ZEV,92705
2010.08,Marin County,5,ZEV,94960
2010.08,Orange County,5,ZEM,92660
2010.08,San Diego County,5,ZEM,92106
2010.08,Los Angeles County,5,ZEV,91403
2010.08,Orange County,1,ZEV,92865
2010.08,Los Angeles County,5,ZEV,90020
2010.08,Riverside County,5,ZEM,92592
2010.09,San Diego County,5,ZEM,92104
2010.09,Marin County,5,ZEV,94920
2010.09,Marin County,5,ZEV,94941
2010.09,Alameda County,5,ZEV,94611
2010.09,Los Angeles County,1,ZEM,91773
2010.09,Santa Clara County,5,ZEM,95119
2010.09,Los Angeles County,5,ZEM,91767
2010.09,San Mateo County,5,ZEM,94028
2010.09,Napa County,1,ZEM,94558
2010.09,Orange County,6,NEV,92626
2010.09,Santa Clara County,5,ZEV,95014
2010.09,Orange County,1,ZEV,92886
2010.09,Riverside County,5,ZEM,92562
2010.09,Contra Costa County,5,ZEV,94507
2010.09,San Diego County,5,ZEV,92127
2010.09,Contra Costa County,5,ZEM,94582
2010.09,Santa Clara County,5,ZEV,94022
2010.10,Santa Clara County,5,ZEV,94043
2010.10,Los Angeles County,5,ZEV,91367
2010.10,Stanislaus County,5,ZEV,95361
2010.10,San Francisco County,5,ZEV,94114
2010.10,Sonoma County,5,ZEV,95476
2010.10,San Francisco County,1,CZEV,94105
2010.10,San Francisco County,1,CZEV,94105
2010.10,San Francisco County,1,CZEV,94105
2010.10,San Francisco County,1,CZEV,94105
2010.10,San Francisco County,1,CZEV,94105
2010.10,Los Angeles County,5,ZEV,90025
2010.10,Santa Clara County,5,ZEV,95014
2010.10,Los Angeles County,5,ZEV,91436
2010.10,Los Angeles County,5,ZEM,90068
2010.10,Sonoma County,5,ZEM,95404
2010.10,Santa Cruz County,5,ZEV,95076
2010.10,Contra Costa County,5,ZEV,94563
2010.10,Los Angeles County,5,ZEV,90266
2010.10,Contra Costa County,5,ZEV,94549
2010.10,San Diego County,5,ZEV,92008
2010.10,Los Angeles County,5,ZEV,90274
2010.10,Santa Clara County,5,ZEV,94306
2010.11,Santa Clara County,5,ZEV,95014
2010.11,San Mateo County,5,ZEV,94403
2010.11,Santa Clara County,5,ZEV,95014
2010.11,Los Angeles County,1,ZEV,90067
2010.11,Los Angeles County,5,ZEV,90025
2010.11,Marin County,1,ZEV,94965
2010.11,Los Angeles County,5,ZEV,91321
2010.11,Los Angeles County,5,ZEV,90066
2010.11,Los Angeles County,4,NEV,90045
2010.11,Los Angeles County,4,NEV,90045
2010.11,Santa Cruz County,5,ZEV,95033
2010.11,Marin County,3,NEV,94965
2010.11,Orange County,5,ZEV,92780
2010.11,Los Angeles County,5,ZEV,90245
2010.12,Stanislaus County,5,NEV,95350
2010.12,San Mateo County,5,ZEV,94061
2010.12,San Diego County,1,ZEV,92037
2010.12,Los Angeles County,5,ZEV,90402
2010.12,Los Angeles County,5,ZEV,90049
2010.12,Los Angeles County,5,NEV,90405
2010.12,Orange County,5,ZEV,92603
2010.12,Alameda County,5,ZEV,94705
2010.12,Los Angeles County,5,ZEV,90402
2011.01,Orange County,5,ZEV,92612
2011.01,San Diego County,1,ZEV,92123
2011.01,San Diego County,5,ZEV,92124
2011.01,San Diego County,5,ZEV,92103
2011.01,San Diego County,5,ZEV,92014
2011.01,Orange County,5,ZEV,92840
2011.01,Los Angeles County,5,ZEV,91384
2011.01,Los Angeles County,5,ZEV,91604
2011.01,Los Angeles County,5,ZEV,91505
2011.01,San Diego County,5,ZEV,92129
2011.01,San Diego County,5,ZEV,92121
2011.01,San Diego County,5,ZEV,92120
2011.01,San Diego County,5,ZEV,92116
2011.01,San Diego County,5,ZEV,91941
2011.01,Santa Clara County,5,ZEV,95070
2011.01,Los Angeles County,5,ZEV,90277
2011.01,Los Angeles County,5,ZEV,90265
2011.01,Santa Clara County,5,ZEV,95125
2011.01,Los Angeles County,1,CZEV,90065
2011.01,Los Angeles County,1,CZEV,90065
2011.01,Los Angeles County,1,CZEV,90065
2011.01,Los Angeles County,1,CZEV,90065
2011.01,Los Angeles County,1,CZEV,90065
2011.01,Los Angeles County,1,CZEV,90065
